Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.859689800068736,None,y,2.7646866000723094,11.859689800068736,None,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_05_2232,AUT01Forum,2021.2.2,59.96436913789378,
0,0,0,0,,,,,,,14.824762500124052,None,space,1,1.5688588998746127,14.824762500124052,None,16.442514500115067,None,space,1,0.3408701999578625,16.442514500115067,None,,,,,,,,001,2021_Aug_05_2232,AUT01Forum,2021.2.2,59.96436913789378,
1,0,1,0,,,,,,,16.824125699931756,None,space,1,0.27301900018937886,16.824125699931756,None,17.123902400024235,None,space,1,0.2642423000652343,17.123902400024235,None,,,,,,,,001,2021_Aug_05_2232,AUT01Forum,2021.2.2,59.96436913789378,
2,0,2,0,,,,,,,17.408266300102696,None,space,1,0.2079058000817895,17.408266300102696,None,17.642195800086483,None,space,1,0.18046390009112656,17.642195800086483,None,,,,,,,,001,2021_Aug_05_2232,AUT01Forum,2021.2.2,59.96436913789378,
3,0,3,0,,,,,,,17.857061499962583,None,space,1,0.1524664000608027,17.857061499962583,None,18.0400589001365,None,space,1,0.14396800007671118,18.0400589001365,None,,,,,,,,001,2021_Aug_05_2232,AUT01Forum,2021.2.2,59.96436913789378,
4,0,4,0,,,,,,,18.20808589993976,None,space,1,0.19575830013491213,18.20808589993976,None,18.423931000055745,None,space,1,0.30867199995554984,18.423931000055745,None,,,,,,,,001,2021_Aug_05_2232,AUT01Forum,2021.2.2,59.96436913789378,
5,0,5,0,,,,,,,18.758086800109595,None,space,1,0.161725299898535,18.758086800109595,None,18.940058100037277,None,space,1,0.1436054001096636,18.940058100037277,None,,,,,,,,001,2021_Aug_05_2232,AUT01Forum,2021.2.2,59.96436913789378,
6,0,6,0,,,,,,,19.107233799993992,None,space,1,0.12410719995386899,19.107233799993992,None,19.257690500002354,None,space,1,0.13503460003994405,19.257690500002354,None,,,,,,,,001,2021_Aug_05_2232,AUT01Forum,2021.2.2,59.96436913789378,
7,0,7,0,,,,,,,19.423066799994558,None,space,1,0.12852329993620515,19.423066799994558,None,19.574708600062877,None,space,1,0.13798359991051257,19.574708600062877,None,,,,,,,,001,2021_Aug_05_2232,AUT01Forum,2021.2.2,59.96436913789378,
8,0,8,0,,,,,,,19.739876700099558,None,space,1,0.13592020003125072,19.739876700099558,None,19.906284200027585,None,space,1,0.13323709997348487,19.906284200027585,None,,,,,,,,001,2021_Aug_05_2232,AUT01Forum,2021.2.2,59.96436913789378,
9,0,9,0,,,,,,,20.056992900092155,None,space,1,0.1487062000669539,20.056992900092155,None,20.222655900055543,None,space,1,0.14718750002793968,20.222655900055543,None,,,,,,,,001,2021_Aug_05_2232,AUT01Forum,2021.2.2,59.96436913789378,
,,,,,,,,,,,,,,,,,,,,,,,,20.392263900022954,None,space,0.1451852999161929,20.392263900022954,None,,001,2021_Aug_05_2232,AUT01Forum,2021.2.2,59.96436913789378,
